Date,Open,High,Low,Close*,Adj Close**,Volume
"May 20, 2022",3927.76,3943.42,3810.32,3901.36,3901.36,4278520000.00
"May 19, 2022",3899.00,3945.96,3876.58,3900.79,3900.79,4212140000.00
"May 18, 2022",4051.98,4051.98,3911.91,3923.68,3923.68,4428960000.00
"May 17, 2022",4052.00,4090.72,4033.93,4088.85,4088.85,3846580000.00
"May 16, 2022",4013.02,4046.46,3983.99,4008.01,4008.01,3824320000.00
"May 13, 2022",3963.90,4038.88,3963.90,4023.89,4023.89,4142950000.00
"May 12, 2022",3903.95,3964.80,3858.87,3930.08,3930.08,4964130000.00
"May 11, 2022",3990.08,4049.09,3928.82,3935.18,3935.18,4683220000.00
"May 10, 2022",4035.18,4068.82,3958.17,4001.05,4001.05,4630150000.00
"May 09, 2022",4081.27,4081.27,3975.48,3991.24,3991.24,4746120000.00
"May 06, 2022",4128.17,4157.69,4067.91,4123.34,4123.34,4254300000.00
"May 05, 2022",4270.43,4270.43,4106.01,4146.87,4146.87,4197620000.00
"May 04, 2022",4181.18,4307.66,4148.91,4300.17,4300.17,4236210000.00
"May 03, 2022",4159.78,4200.10,4147.08,4175.48,4175.48,3877530000.00
"May 02, 2022",4130.61,4169.81,4062.51,4155.38,4155.38,4474060000.00
"Apr 29, 2022",4253.75,4269.68,4124.28,4131.93,4131.93,3943480000.00
"Apr 28, 2022",4222.58,4308.45,4188.63,4287.50,4287.50,3969440000.00
"Apr 27, 2022",4186.52,4240.71,4162.90,4183.96,4183.96,3876340000.00
"Apr 26, 2022",4278.14,4278.14,4175.04,4175.20,4175.20,3760420000.00
"Apr 25, 2022",4255.34,4299.02,4200.82,4296.12,4296.12,4061070000.00
"Apr 22, 2022",4385.83,4385.83,4267.62,4271.78,4271.78,3930660000.00
"Apr 21, 2022",4489.17,4512.94,4384.47,4393.66,4393.66,3833570000.00
"Apr 20, 2022",4472.26,4488.29,4448.76,4459.45,4459.45,3678040000.00
"Apr 19, 2022",4390.63,4471.03,4390.63,4462.21,4462.21,3197930000.00
"Apr 18, 2022",4385.63,4410.31,4370.30,4391.69,4391.69,3509340000.00
"Apr 14, 2022",4449.12,4460.46,4390.77,4392.59,4392.59,3634740000.00
"Apr 13, 2022",4394.30,4453.92,4392.70,4446.59,4446.59,3273140000.00
"Apr 12, 2022",4437.59,4471.00,4381.34,4397.45,4397.45,3451990000.00
"Apr 11, 2022",4462.64,4464.35,4408.38,4412.53,4412.53,3452540000.00
"Apr 08, 2022",4494.15,4520.41,4474.60,4488.28,4488.28,3453040000.00
"Apr 07, 2022",4474.65,4521.16,4450.30,4500.21,4500.21,4054010000.00
"Apr 06, 2022",4494.17,4503.94,4450.04,4481.15,4481.15,4137080000.00
"Apr 05, 2022",4572.45,4593.45,4514.17,4525.12,4525.12,3906230000.00
"Apr 04, 2022",4547.97,4583.50,4539.21,4582.64,4582.64,3833500000.00
"Apr 01, 2022",4540.32,4548.70,4507.57,4545.86,4545.86,3828290000.00
"Mar 31, 2022",4599.02,4603.07,4530.41,4530.41,4530.41,3782040000.00
"Mar 30, 2022",4624.20,4627.77,4581.32,4602.45,4602.45,3665390000.00
"Mar 29, 2022",4602.86,4637.30,4589.66,4631.60,4631.60,4239660000.00
"Mar 28, 2022",4541.09,4575.65,4517.69,4575.52,4575.52,3696850000.00
"Mar 25, 2022",4522.91,4546.03,4501.07,4543.06,4543.06,3577520000.00
"Mar 24, 2022",4469.98,4520.58,4465.17,4520.16,4520.16,3573430000.00
"Mar 23, 2022",4493.10,4501.07,4455.81,4456.24,4456.24,4014360000.00
"Mar 22, 2022",4469.10,4522.00,4469.10,4511.61,4511.61,3962880000.00
"Mar 21, 2022",4462.40,4481.75,4424.30,4461.18,4461.18,3961050000.00
"Mar 18, 2022",4407.34,4465.40,4390.57,4463.12,4463.12,6681510000.00
"Mar 17, 2022",4345.11,4412.67,4335.65,4411.67,4411.67,4174170000.00
"Mar 16, 2022",4288.14,4358.90,4251.99,4357.86,4357.86,5002240000.00
"Mar 15, 2022",4188.82,4271.05,4187.90,4262.45,4262.45,4331170000.00
"Mar 14, 2022",4202.75,4247.57,4161.72,4173.11,4173.11,4757600000.00
"Mar 11, 2022",4279.50,4291.01,4200.49,4204.31,4204.31,3877430000.00
"Mar 10, 2022",4252.55,4268.28,4209.80,4259.52,4259.52,4008690000.00
"Mar 09, 2022",4223.10,4299.40,4223.10,4277.88,4277.88,4220180000.00
"Mar 08, 2022",4202.66,4276.94,4157.87,4170.70,4170.70,6237000000.00
"Mar 07, 2022",4327.01,4327.01,4199.85,4201.09,4201.09,5506330000.00
